香港,340697,香港海洋公园-星光大道-维多利亚港-太平山-尖沙咀-金紫荆广场-香港迪士尼乐园-中环-弥敦道-兰桂坊-中银大厦-香港杜莎夫人蜡像馆-旺角-中环至半山自动扶梯-湾仔-黄大仙祠-铜锣湾-庙街-凌霄阁-重庆大厦,https://pic.qyer.com/album/user/213/10/Q0hWQxoGYg/index/cover
澳门,201947,澳门大三巴牌坊-大炮台-议事亭前地-玫瑰堂-官也街-妈阁庙-氹仔岛-澳门渔人码头-民政总署大楼-大三巴街-澳门博物馆-金莲花广场-岗顶前地-玛嘉烈蛋挞店-澳门旅游塔-龙环葡韵住宅式博物馆-东望洋炮台-圣若瑟修院及圣堂-黑沙海滩-妈祖像,https://pic.qyer.com/album/180/22/1848224/index/cover
台北,134859,台北故宫博物院-台北101大楼-西门町-中正纪念堂-士林夜市-国父纪念馆-士林官邸-台北总统府-台北车站-阳明山国家公园-红楼创意市集-西门红楼-阿宗面线-猫空站-龙山寺-师大夜市-北投温泉博物馆-101觀景台-松山文创园区-饶河街观光夜市,https://pic.qyer.com/album/user/354/29/QkxRQBMPYA/index/cover
台湾,113043,台北故宫博物院-台北101大楼-西门町-中正纪念堂-士林夜市-国父纪念馆-垦丁大街-鹅銮鼻公园-士林官邸-鹅銮鼻灯塔-九份老街-七星潭-台北总统府-船帆石-清水断崖-六合夜市-日月潭-高雄捷运美丽岛站(光之穹顶)-打狗英国领事馆-台湾最南点碑,https://pic.qyer.com/album/user/1849/7/QEFRSxoAaEA/index/cover
北京,91925,故宫-颐和园-圆明园-天安门广场-北京野生动物园-北京欢乐谷-恭王府-天坛-北京汽车博物馆-北海公园-北京动物园-中国科学技术馆-景山公园-南锣鼓巷-北京杜莎夫人蜡像馆-北京海洋馆-世界公园-香山公园-富国海底世界-雍和宫,https://pic.qyer.com/album/user/1501/43/QExVQx4EZUg/index/cover
上海,88273,东方明珠电视塔-上海野生动物园-上海海洋水族馆-上海科技馆-上海杜莎夫人蜡像馆-上海海昌海洋公园-豫园-上海长风海洋世界-上海动物园-城隍庙旅游区-顾村公园-上海自然博物馆-金茂大厦-银行博物馆-东方绿舟-上海汽车博物馆-中国航海博物馆-浦东开发陈列馆-上海海湾国家森林公园-新天地,https://pic.qyer.com/album/user/1500/96/QExVQhMBY08/index/cover
成都,80920,成都大熊猫繁育研究基地-宽窄巷子-武侯祠-杜甫草堂-金沙遗址博物馆-成都海昌极地海洋公园-成都欢乐谷-春熙路-成都动物园-蜀风雅韵川剧院-国色天乡童话世界-浩海立方海洋馆-文殊院-秀丽东方-青羊宫-松鼠部落森林假日公园-中国泰迪熊博物馆-漫花庄园-天府熊猫塔-四川博物院,https://pic.qyer.com/album/user/1503/17/QExVQRsAYUg/index/cover
广州,78269,长隆野生动物世界-广州塔-长隆欢乐世界-珠江夜游-沙面-岭南印象园-宝墨园-正佳极地海洋世界-百万葵园-黄石公园-珠江夜游天字码头-中国科学院华南植物园-陈家祠-从化碧水湾温泉-珠江夜游广州塔码头-越秀公园-珠江夜游大沙头码头-上下九步行街-广州动物园-石室圣心大教堂,https://pic.qyer.com/album/user/861/28/SU9UQBICYg/index/cover
杭州,74782,杭州灵隐（飞来峰）景区-灵隐寺-杭州动物园-西湖游船-岳王庙景区-胡雪岩故居-三潭印月-虎跑公园-杭州海底世界-清河坊街-花港观鱼-京杭大运河-白堤-南宋御街-云栖竹径-大喇叭-杭州云曼温泉-纪念公园-杭州植物园-钱塘江,https://pic.qyer.com/album/user/1503/18/QExVQRsPZ0A/index/cover
南京,73991,牛首山文化旅游区-红山森林动物园-南京海底世界（尧泰汉海集团）-大报恩寺遗址公园-瞻园-秦淮河画舫-阅江楼-夫子庙秦淮河风光带-侵华日军南京大屠杀遇难同胞纪念馆-栖霞山-美龄宫-珍珠泉风景区-外秦淮河画舫-六朝博物馆-鸡鸣寺-江宁织造博物馆-圣保罗教堂-雨花台-梅花山-南京长江大桥,https://pic.qyer.com/album/user/861/28/SU9UQBIAYg/index/cover
